State,Seats - 2000 Census,Seats - 2010 Census,Seats - 2020 Census
Washington,9,10,10
Oregon,5,5,6
California,53,53,52
Idaho,2,2,2
Utah,3,4,4
Nevada,3,4,4
Arizona,8,9,9
Texas,32,36,38
Montana,1,1,2
Wyoming,1,1,1
Colorado,7,7,8
New Mexico,3,3,3
North Dacota,1,1,1
South Dacota,1,1,1
Nebraska,3,3,3
Kansas,4,4,4
Oklahoma,5,5,5
Minnesota,8,8,8
Iowa,5,4,4
Missouri,9,8,8
Arkansas,4,4,4
Louisiana,7,6,6
Alaska,1,1,1
Hawaii,2,2,2
Wisconsin,8,8,8
Illinois,19,18,17
Kentucky,6,6,6
Mississippi,4,4,4
Michigan,15,14,13
Indiana,9,9,9
Tennessee,9,9,9
Alabama,7,7,7
Florida,25,27,28
Ohio,18,16,15
North Carolina,13,13,14
South Carolina,6,7,7
Georgia,13,14,14
Vermont,1,1,1
New York,29,27,26
Pennsylvania,19,18,17
West Virginia,3,3,2
Virginia,11,11,11
New Hampshire,2,2,2
Maine,2,2,2
Massachusets,10,9,9
Rhode Island,2,2,2
Connecticut,5,5,5
New Jersey,13,12,12
Deleware,1,1,1
Maryland,8,8,8